"07459: Population, by region, sex, age, year and contents"

"region";"sex";"age";"year";"Persons"
"0 The whole country";"Males";"0-9 years";"1986";264061
"0 The whole country";"Males";"0-9 years";"1987";263923
"0 The whole country";"Males";"0-9 years";"1988";265864
"0 The whole country";"Males";"0-9 years";"1989";269279
"0 The whole country";"Males";"0-9 years";"1990";273252
"0 The whole country";"Males";"0-9 years";"1991";278040
"0 The whole country";"Males";"0-9 years";"1992";283522
"0 The whole country";"Males";"0-9 years";"1993";288861
"0 The whole country";"Males";"0-9 years";"1994";294529
"0 The whole country";"Males";"0-9 years";"1995";299717
"0 The whole country";"Males";"0-9 years";"1996";304291
"0 The whole country";"Males";"0-9 years";"1997";308347
"0 The whole country";"Males";"0-9 years";"1998";311842
"0 The whole country";"Males";"0-9 years";"1999";312714
"0 The whole country";"Males";"0-9 years";"2000";313942
"0 The whole country";"Males";"0-9 years";"2001";312893
"0 The whole country";"Males";"0-9 years";"2002";310374
"0 The whole country";"Males";"0-9 years";"2003";308096
"0 The whole country";"Males";"0-9 years";"2004";306773
"0 The whole country";"Males";"0-9 years";"2005";305334
"0 The whole country";"Males";"0-9 years";"2006";303697
"0 The whole country";"Males";"0-9 years";"2007";302731
"0 The whole country";"Males";"0-9 years";"2008";303016
"0 The whole country";"Males";"0-9 years";"2009";305524
"0 The whole country";"Males";"0-9 years";"2010";308298
"0 The whole country";"Males";"0-9 years";"2011";310404
"0 The whole country";"Males";"0-9 years";"2012";313388
"0 The whole country";"Males";"0-9 years";"2013";317160
"0 The whole country";"Males";"0-9 years";"2014";319182
"0 The whole country";"Males";"0-9 years";"2015";320398
"0 The whole country";"Males";"0-9 years";"2016";321461
"0 The whole country";"Males";"0-9 years";"2017";321606
"0 The whole country";"Males";"0-9 years";"2018";320113
"0 The whole country";"Males";"0-9 years";"2019";315935
"0 The whole country";"Males";"0-9 years";"2020";310992
"0 The whole country";"Males";"0-9 years";"2021";304884
"0 The whole country";"Males";"0-9 years";"2022";301716
"0 The whole country";"Males";"0-9 years";"2023";300016
"0 The whole country";"Males";"0-9 years";"2024";298310
"0 The whole country";"Males";"10-19 years";"1986";329464
